BOROUGH,LATITUDE,LONGITUDE,Filing Date,Issuance Date,Expiration Date,Permit Status,Job Type,Residential,Non-Profit,Owner's Business Name,Site Fill,Street Name
QUEENS,40.753568,-73.719751,2018-08-24,2018-08-24,2019-02-18,ISSUED,NB,,N,SELF,OFF-SITE,260 PLACE
BROOKLYN,40.690305,-73.956249,2016-03-04,2016-03-04,2017-03-04,ISSUED,A3,YES,N,SILVER CUP SCAFFOLDING 1 LLC,,SKILLMAN STREET
QUEENS,40.74908,-73.936913,2016-07-05,2016-07-05,2016-10-07,ISSUED,A2,,N,LARGA VISTA COMPANIES,NOT APPLICABLE,NORTHERN BLVD
QUEENS,40.74908,-73.936913,2016-11-04,2016-11-04,2017-10-07,ISSUED,A2,,N,LARGA VISTA COMPANIES,NOT APPLICABLE,NORTHERN BLVD
QUEENS,40.748806,-73.937263,2017-03-17,2017-03-28,2017-09-29,ISSUED,A3,YES,N,ZAND DEVELOPMENT LLC,,QUEENS  BLVD
QUEENS,40.749105,-73.936848,2017-04-06,2017-04-06,2018-04-06,ISSUED,A2,,N,LARGA VISTA COMPANIES,NOT APPLICABLE,NORTHERN BOULEVARD
QUEENS,40.674904,-73.855421,2018-03-20,2018-03-20,2019-03-20,,A2,YES,N,,NOT APPLICABLE,81 STREET
QUEENS,40.674904,-73.855421,2018-08-10,2018-08-10,2019-01-10,,A2,YES,N,,NOT APPLICABLE,81 STREET
BROOKLYN,40.622307,-73.953736,2016-09-07,2016-09-07,2017-09-07,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2016-09-07,2016-09-07,2017-09-07,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2016-09-07,2016-09-07,2017-09-07,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2016-12-06,2016-12-06,2017-12-06,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2017-09-13,2017-09-13,2017-09-19,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2017-09-14,2017-10-23,2018-09-19,RE-ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2017-09-14,2017-09-14,2017-09-19,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2017-10-23,2017-10-23,2018-09-19,RE-ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2017-10-23,2017-10-23,2018-09-19,RE-ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2017-12-19,2017-12-19,2018-12-19,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2018-09-24,2018-10-01,2019-09-19,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2018-10-01,2018-10-01,2019-09-19,ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
BROOKLYN,40.622307,-73.953736,2018-10-01,2018-10-01,2019-09-19,RE-ISSUED,NB,,N,,USE UNDER 300 CU.YD,EAST 22 STREET
